rm,Label,Code,pixels_removed,old_pixel_count,new_pixel_count,old_per_pixel,new_per_pixel,target_per_pixel,reduction_pct,masc_biomass_total
RIDING MOUNTAIN WEST,Corn,147,168,2245,2076,0.169822507794274,0.18355891539116814,0.1836466504017533,7.527576777053668,381.25186726745625
ROCKWOOD,Corn,147,332,45783,45450,0.18231210497914602,0.18364397892557352,0.1836466504017533,0.7266919487438411,8346.802486146242
ROLAND,Corn,147,7108,78038,70929,0.16691867619830672,0.18364600558928781,0.1836466504017533,9.108782636030506,13026.011176448184
SOURIS-GLENWOOD,Corn,147,7946,33492,25545,0.1400718585123257,0.18364091581389808,0.1836466504017533,23.72751792319735,4691.29083538184
ST. ANDREWS,Corn,147,4587,23751,19163,0.1481733425552656,0.18363954144766928,0.1836466504017533,19.31606580837972,3519.268172303134
STANLEY,Corn,147,6877,145163,138285,0.17494590314255765,0.18364617245303985,0.1836466504017533,4.737765290116379,25395.694603841068
STUARTBURN,Corn,147,4315,29861,25545,0.15710413868573767,0.18364091581389808,0.1836466504017533,14.453033397532755,4691.29083538184
THOMPSON,Corn,147,9173,76681,67507,0.1616773423853411,0.18364625316720798,0.1836466504017533,11.962814441946653,12397.591258811875
WOODLANDS,Corn,147,3941,68925,64983,0.17314547441771827,0.1810660872934849,0.1836466504017533,5.718141856147225,11934.06581351359
ALEXANDER,Canola/rapeseed,153,3804,40735,36930,0.040749285708004665,0.0449466199600489,0.04494671458495952,9.338677844897335,1659.923621744566
BIFROST-RIVERTON,Canola/rapeseed,153,32447,188223,155775,0.03719844632299652,0.04494665003679933,0.04494671458495952,17.238786713358127,7001.609356132453
CORNWALLIS,Canola/rapeseed,153,20637,105650,85013,0.03616707618786832,0.038138519251913874,0.04494671458495952,19.533437489620482,3821.0601053299993
DAUPHIN,Canola/rapeseed,153,79965,361745,281779,0.03501100976957128,0.04188988635344745,0.04494671458495952,22.105519629488153,12665.07201987401
DELORAINE-WINCHESTER,Canola/rapeseed,153,1905,197983,196078,0.044514212322849245,0.044946730865643145,0.04494671458495952,0.9622555644033642,8813.065094673577
FISHER,Canola/rapeseed,153,6399,88569,82169,0.04169897532203065,0.04494632849545592,0.04494671458495952,7.225754524927296,3693.239812471613
GILBERT PLAINS,Canola/rapeseed,153,32454,326316,293861,0.04047642374756211,0.044946663318125864,0.04494671458495952,9.945756611303679,13208.116375991103
GLENELLA-LANSDOWNE,Canola/rapeseed,153,9608,310139,300531,0.04355425419412577,0.03846874548911583,0.04494671458495952,3.09802485830566,13507.915291048132
HANOVER,Canola/rapeseed,153,23892,119194,95301,0.0359370295499301,0.04357788527390141,0.04494671458495952,20.04525829802102,4283.488232998139
HARRISON PARK,Canola/rapeseed,153,34050,232462,198411,0.03836304167217737,0.03760832906214106,0.04494671458495952,14.64772892429659,8917.950245518323
HEADINGLEY,Canola/rapeseed,153,1505,20870,19364,0.041704013086096094,0.04437508795367266,0.04494671458495952,7.214546221690971,870.3729751233356
HILLSBURG-ROBLIN-SHELL RIVER,Canola/rapeseed,153,26689,460758,434069,0.042343188849583824,0.04494672567540387,0.04494671458495952,5.792471728838902,19509.980267196883
LAC DU BONNET,Canola/rapeseed,153,1352,60498,59145,0.04394173018668078,0.04439643965170012,0.04494671458495952,2.235946292312608,2658.4144099041514
MCCREARY,Canola/rapeseed,153,10824,88557,77733,0.03945285398071572,0.02822223905641402,0.04494671458495952,12.223052685773405,3493.856750705943
PIPESTONE,Canola/rapeseed,153,57195,381121,323926,0.03820151308722736,0.04494672162501309,0.04494671458495952,15.007106882044063,14559.41174910399
PRAIRIE VIEW,Canola/rapeseed,153,10199,573709,563509,0.04414763946790675,0.04494670990309993,0.04494671458495952,1.777827644203752,25327.92049749584
ROSEDALE,Canola/rapeseed,153,25001,200024,175023,0.03932873065887178,0.03679014022707186,0.04494671458495952,12.499209292524517,7866.725314334094
ROSSBURN,Canola/rapeseed,153,21840,205303,183462,0.04016510633600701,0.044099229653513976,0.04494671458495952,10.638393246550153,8246.026754451272
RUSSELL-BINSCARTH,Canola/rapeseed,153,14629,181600,166971,0.04132596734868,0.04494674110799008,0.04494671458495952,8.055643821164022,7504.802309542211
SPRINGFIELD,Canola/rapeseed,153,3706,103404,99697,0.04333558513656718,0.04494650654562402,0.04494671458495952,3.5845321805377752,4481.076809585624
ST. CLEMENTS,Canola/rapeseed,153,14564,72706,58141,0.03594315291187264,0.044946599487771854,0.04494671458495952,20.03163469505228,2613.285187418031
STE. ROSE,Canola/rapeseed,153,24767,122440,97672,0.03585475652537737,0.04494650796611845,0.04494671458495952,20.228303989597013,4390.060272574688
TWO BORDERS,Canola/rapeseed,153,15250,621980,606730,0.0438446883211043,0.044946752866148104,0.04494671458495952,2.451850539091434,27270.54336647804
WALLACE-WOODWORTH,Canola/rapeseed,153,113748,536926,423177,0.035424665208759504,0.04494666692988319,0.04494671458495952,21.185195545719306,19020.44061805411
WEST ST. PAUL,Canola/rapeseed,153,4050,14309,10258,0.03222332180947649,0.044074422445748565,0.04494671458495952,28.30772592161973,461.10660762742145
WINNIPEG,Canola/rapeseed,153,4103,27289,23185,0.03818826198337246,0.044086713129196625,0.04494671458495952,15.036588689507093,1042.1217249479498
ARGYLE,Flaxseed,154,0,2777,2777,0.041066545838962326,0.24169602391474296,0.04106654583896233,1.6369930985694872e-14,114.08052328775868
BROKENHEAD,Flaxseed,154,0,2571,2433,0.03885515502839681,0.0,0.04106654583896233,5.384896064152156,99.93042836794992
DAUPHIN,Flaxseed,154,824,3246,2421,0.030632821687989645,0.046190838024698415,0.04106654583896233,25.40687057510832,99.44887426717568
HARRISON PARK,Flaxseed,154,138,1645,1507,0.03761102179663039,0.3110733028745244,0.04106654583896233,8.414450185029873,61.90358727203036
MACDONALD,Flaxseed,154,0,2777,2777,0.041066545838962326,0.12495128509064478,0.04106654583896233,1.6369930985694872e-14,114.08052328775868
OAKLAND-WAWANESA,Flaxseed,154,138,3497,3359,0.03944057320580536,0.33648114503382803,0.04106654583896233,3.9593605937373844,137.9572694638695
PIPESTONE,Flaxseed,154,138,1064,925,0.03573948069171859,0.041065703127342944,0.04106654583896233,12.971787712882431,38.026841095919565
ROLAND,Flaxseed,154,75,1001,925,0.037988818637351235,0.041065703127342944,0.04106654583896233,7.494487638868019,38.026841095919565
STANLEY,Flaxseed,154,324,2176,1851,0.03495110979410714,0.04106570312734294,0.04106654583896233,14.891527689804148,76.05368219183912
TWO BORDERS,Flaxseed,154,712,4842,4129,0.03502048441857936,0.04105313499206923,0.04106654583896233,14.722595477330621,169.59050065223798
WALLACE-WOODWORTH,Flaxseed,154,276,5143,4866,0.03885515502839681,0.05907799489680752,0.04106654583896233,5.384896064152156,199.86085673589983
WHITEHEAD,Flaxseed,154,138,3497,3359,0.03944057320580536,0.579652392705334,0.04106654583896233,3.9593605937373844,137.9572694638695
YELLOWHEAD,Flaxseed,154,121,2571,2433,0.03885515502839681,0.0,0.04106654583896233,5.384896064152156,99.93042836794992
EMERSON-FRANKLIN,Sunflower,157,1743,7059,5315,0.021255093486137723,0.02822419820341621,0.028228024590453878,24.702157538413978,150.03983764936058
RIVERDALE,Sunflower,157,79,1408,1328,0.026640572606293714,0.02822419820341621,0.028228024590453878,5.623673661872208,37.509959412340145
ROCKWOOD,Sunflower,157,1059,6684,5624,0.02375283141173326,0.02822472277413508,0.028228024590453878,15.853724246201883,158.76406560450982
SOURIS-GLENWOOD,Sunflower,157,217,1546,1328,0.024262565478435673,0.02822419820341621,0.028228024590453878,14.04795117458995,37.509959412340145
ST. ANDREWS,Sunflower,157,1515,7338,5822,0.0223966096862554,0.028223676329147004,0.028228024590453878,20.658246507871254,164.34646726462302
TACHE,Sunflower,157,363,3885,3521,0.025589049868602352,0.02822644709948055,0.028228024590453878,9.348775765003296,99.4135466843705
WESTLAKE-GLADSTONE,Sunflower,157,827,5678,4850,0.02411472084698515,0.028225830982624333,0.028228024590453878,14.571702423908755,136.92350609671064
ALEXANDER,Soybeans,158,3196,50521,47325,0.03370853038036623,0.032681240621404276,0.03598532931468428,6.327019865256515,1703.0194487813767
ALONSA,Soybeans,158,11658,42148,30489,0.02603154471853708,0.03598486446051316,0.03598532931468428,27.660673907145352,1097.1785174010463
BIFROST-RIVERTON,Soybeans,158,12217,139823,127605,0.03284103746424411,0.03598527062644008,0.03598532931468428,8.737704810046305,4591.936443557513
CORNWALLIS,Soybeans,158,256,39747,39490,0.035753170225046885,0.03598497161571945,0.03598532931468428,0.6451492707131129,1421.0825140763768
ETHELBERT,Soybeans,158,1178,16155,14976,0.03336006191635287,0.03598399392520766,0.03598532931468428,7.295382447035527,538.9322770178351
GLENBORO-SOUTH CYPRESS,Soybeans,158,3991,30848,26856,0.03132861245706562,0.0359841341926188,0.03598532931468428,12.940598144584515,966.425892011163
